"","id","X","Y"
"1","1",348.9,830.6
"2","1",338.574,832.804
"3","1",328.231,834.509
"4","1",317.885,835.721
"5","1",307.553,836.447
"6","1",297.249,836.693
"7","1",286.988,836.467
"8","1",276.785,835.775
"9","1",266.656,834.623
"10","1",256.615,833.02
"11","1",246.678,830.97
"12","1",236.859,828.481
"13","1",227.174,825.56
"14","1",217.638,822.214
"15","1",208.265,818.448
"16","1",199.072,814.271
"17","1",190.072,809.688
"18","1",181.282,804.706
"19","1",172.716,799.332
"20","1",164.389,793.573
"21","1",156.317,787.435
"22","1",148.514,780.925
"23","1",140.996,774.051
"24","1",133.777,766.818
"25","1",126.873,759.233
"26","1",120.299,751.303
"27","1",114.069,743.035
"28","1",108.2,734.435
"29","1",102.705,725.511
"30","1",97.601,716.269
"31","1",92.902,706.715
"32","1",88.623,696.856
"33","1",84.78,686.7
"34","1",82.38,679.627
"35","1",80.231,672.528
"36","1",78.33,665.41
"37","1",76.674,658.276
"38","1",75.261,651.132
"39","1",74.09,643.983
"40","1",73.157,636.834
"41","1",72.46,629.689
"42","1",71.997,622.554
"43","1",71.765,615.433
"44","1",71.763,608.332
"45","1",71.988,601.254
"46","1",72.437,594.207
"47","1",73.108,587.193
"48","1",73.999,580.218
"49","1",75.108,573.288
"50","1",76.431,566.406
"51","1",77.967,559.578
"52","1",79.714,552.809
"53","1",81.669,546.103
"54","1",83.829,539.467
"55","1",86.193,532.903
"56","1",88.758,526.419
"57","1",91.522,520.017
"58","1",94.481,513.704
"59","1",97.635,507.484
"60","1",100.981,501.363
"61","1",104.515,495.344
"62","1",108.237,489.434
"63","1",112.143,483.636
"64","1",116.232,477.957
"65","1",120.5,472.4
"66","1",120.5,472.4
"67","1",127.585,465.013
"68","1",134.675,457.998
"69","1",141.784,451.345
"70","1",148.925,445.045
"71","1",156.113,439.091
"72","1",163.363,433.473
"73","1",170.687,428.183
"74","1",178.1,423.212
"75","1",185.616,418.552
"76","1",193.25,414.194
"77","1",201.015,410.129
"78","1",208.925,406.348
"79","1",216.995,402.844
"80","1",225.238,399.607
"81","1",233.668,396.628
"82","1",242.3,393.9
"83","1",242.3,393.9
"84","1",253.301,390.764
"85","1",263.895,388.091
"86","1",274.108,385.853
"87","1",283.962,384.025
"88","1",293.485,382.582
